Department,ID,Name,Description,Prerequisites,Old Module(s),Proposed Expiry,Materials Link,Safety Critical,Grants,Status,Notes
NNT,NNT-001,Induction,"A single, mandatory session covering the theatre's history and culture, an overview of the committee and show proposal process, the code of conduct, and essential safety and emergency procedures. Baseline for all members; repeated annually as content changes.",,,Academic year,,,,DRAFT,
NNT,NNT-002,Get-in Brief,"Repeated at each get-in: safety and emergency reminders, follow HoD instructions, ask for help. Recorded as attendance, which doubles as get-in attendance tracking.",,,Brief (recurring),,,,DRAFT,
NNT,NNT-003,Get-out Brief,"Repeated at each get-out: safety and emergency reminders, follow HoD instructions, ask for help. Recorded as attendance.",,,Brief (recurring),,,,DRAFT,
SFTY,SFTY-001,First Aid,"External accredited certificate, for example the SU-run Emergency First Aid at Work. The system records the certificate and its own expiry date.",,,External cert date,,,,DRAFT,EXPANDED. Theatre target is at least one valid first-aider at every performance and workshop session.
SFTY,SFTY-002,Fire Procedure,"Alarm points and sounds, evacuation routes and assembly point, extinguisher types and when not to fight a fire, show-stop and evacuation announcements, and roles during an evacuation (DM, backstage).",NNT-001,,Academic year,,,,DRAFT,EXPANDED. Annual because procedures and building layout change.
SFTY,SFTY-011,Manual Handling,"Safe lifting technique, team lifts and communication, moving awkward loads such as steeldeck, flats and pianos, when to use trucks or skates, and when to say no.",NNT-001,,36 months,,,,DRAFT,EXPANDED. Required before heavy work on get-ins.
SFTY,SFTY-012,Ladder Safety and Working at Height,"A-frames, extension ladders and the Zarges: inspection before use, correct footing, three points of contact, working over other people, exclusion zones, and passing tools and equipment up and down.",NNT-001,,36 months,,yes,,DRAFT,EXPANDED. Required for any rigging or high-level work.
SFTY,SFTY-021,Workshop Induction,"Mandatory for all workshop use. Safe use of basic hand tools such as drills and saws, workshop protocols, PPE, dust and noise, and emergency procedures.",NNT-001,,Academic year,,yes,,DRAFT,
SFTY,SFTY-022,Powered Workshop Tools,"Extends the workshop induction to powered bench and free tools: chop saw, circular saw, jigsaw, sanders and pillar drill. Which tools members may use after sign-off, and which remain supervised or CWM-only.",SFTY-021,,12 months,,yes,,DRAFT,NEW: subcommittee to confirm. Short refresh because these are the highest-risk items in the building.
SFTY,SFTY-031,Risk Assessments,"How to write and review a risk assessment for a show, get-in or workshop activity: hazard identification, likelihood and severity, controls, and the sign-off flow with committee.",NNT-001,,Never,,,,DRAFT,"NEW: subcommittee to confirm. Aimed at producers, SMs and HoDs; feeds PROD-201."
TECH,TECH-101,Power Procedures,,NNT-001,,Never,,,,DRAFT,Description held in the subcommittee spreadsheet; not reproduced in the 10 Aug 2026 catalogue draft.
TECH,TECH-201,Stage Electrics and Power Management,,TECH-101,,Never,,yes,,DRAFT,Description held in the subcommittee spreadsheet; not reproduced in the 10 Aug 2026 catalogue draft.
TECH,TECH-111,Lighting Fundamentals,,NNT-001,,Never,,,,DRAFT,Description held in the subcommittee spreadsheet; not reproduced in the 10 Aug 2026 catalogue draft. Open question: whether SFTY-012 becomes a prerequisite for the rigging portion (subcommittee call: it lengthens the path to lighting).
TECH,TECH-112,Eos Programming and Operation,,NNT-001,,Never,,,,DRAFT,Description held in the subcommittee spreadsheet; not reproduced in the 10 Aug 2026 catalogue draft.
TECH,TECH-211,Lighting Design,,"TECH-111, TECH-112",,Never,,,,DRAFT,Description held in the subcommittee spreadsheet; not reproduced in the 10 Aug 2026 catalogue draft.
TECH,TECH-212,Practical Lighting and Moving Lights,,"TECH-111, TECH-112",,Never,,,,DRAFT,Description held in the subcommittee spreadsheet; not reproduced in the 10 Aug 2026 catalogue draft.
TECH,LD-CERT,Certified Lighting Designer,"Complete the Lighting modules, design and program a show supervised, and be signed off by a CTD. May then supervise Lighting.","TECH-211, TECH-212",,Never,,,supervisor,DRAFT,
TECH,TECH-121,Sound Fundamentals,,NNT-001,,Never,,,,DRAFT,Description held in the subcommittee spreadsheet; not reproduced in the 10 Aug 2026 catalogue draft.
TECH,TECH-122,QLab Programming and Operation,,NNT-001,,Never,,,,DRAFT,Description held in the subcommittee spreadsheet; not reproduced in the 10 Aug 2026 catalogue draft.
TECH,TECH-221,Sound Design and Advanced QLab,,TECH-122,,Never,,,,DRAFT,Description held in the subcommittee spreadsheet; not reproduced in the 10 Aug 2026 catalogue draft.
TECH,TECH-222,Live Sound and Mixing,,TECH-121,,Never,,,,DRAFT,Description held in the subcommittee spreadsheet; not reproduced in the 10 Aug 2026 catalogue draft.
TECH,SND-CERT,Certified Sound Designer,"Complete the Sound modules, design and operate a show supervised, and be signed off by a CTD. May then supervise Sound.","TECH-221, TECH-222",,Never,,,supervisor,DRAFT,
TECH,TECH-131,Intro to Video and Projection,,NNT-001,,Never,,,,DRAFT,Description held in the subcommittee spreadsheet; not reproduced in the 10 Aug 2026 catalogue draft.
TECH,TECH-231,Advanced Video and Projection,,TECH-131,,Never,,,,DRAFT,"Description held in the subcommittee spreadsheet; not reproduced in the 10 Aug 2026 catalogue draft. Show relay is blocked on equipment, not on the scheme."
TECH,AV-CERT,Certified Video Designer,"Complete the Video and Projection modules, design a show supervised, and be signed off by a CTD. May then supervise Projection.",TECH-231,,Never,,,supervisor,DRAFT,Named by the ITM draft to match the LD and SND phrasing: subcommittee to confirm.
TECH,TECH-141,Smoke and Haze,,NNT-001,,Never,,,,DRAFT,Description held in the subcommittee spreadsheet; not reproduced in the 10 Aug 2026 catalogue draft. Practice sessions blocked on equipment.
STGE,STGE-101,Set Construction Basics,"Flats: building, repairing, joining and bracing. Timber selection, basic joints, screws versus bolts versus staples, and preparing surfaces for paint. What the stock set pieces are and how they are stored.",SFTY-021,,Never,,,,DRAFT,NEW section: subcommittee to confirm.
STGE,STGE-102,Building Decking,"Steeldeck: legs, bracing, handrails, safe assembly and stacking, safe working loads, and checking a build before it is stood on.","SFTY-021, SFTY-011",,Never,,,,DRAFT,NEW section: subcommittee to confirm.
STGE,STGE-111,Scenic Painting and Texturing,"Priming and base coats, blocking in, wood-graining and stone effects, texture with sawdust and filler, and keeping the paint store usable for the next show.",SFTY-021,,Never,,,,DRAFT,NEW section: subcommittee to confirm.
STGE,STGE-201,Advanced Construction,"Load-bearing structures: treads and staircases, raised platforms and balustrades, trucks and castors, span rules, and when to ask the CWM. Anything an actor stands on above deck height goes through a certified builder or active supervision.","STGE-101, STGE-102",,Never,,yes,,DRAFT,NEW section: subcommittee to confirm.
STGE,STGE-211,Set Design,"Reading and drawing ground plans, model boxes, sightlines from the NNT's seating, designing within budget and buildability, the design deadline cycle, and collaborating with the director and CWM.",STGE-101,,Never,,,,DRAFT,NEW section: subcommittee to confirm.
STGE,SET-CERT,Certified Set Designer,Complete all Set and Workshop modules and design or build a show supervised. Signed off by the CWM. May then supervise Set and Workshop.,"STGE-111, STGE-201, STGE-211",,Never,,,supervisor,DRAFT,NEW section: subcommittee to confirm.
MGMT,MGMT-101,Intro to Stage Management,Base knowledge of the stage management team and its roles.,NNT-001,,Never,,,,DRAFT,
MGMT,MGMT-102,Being a Stage Manager,"Fight calls, intimacy coordination, and running show week.",MGMT-101,,Never,,,,DRAFT,
MGMT,MGMT-103,Being an Assistant Stage Manager,"Props: sourcing, running and returning.",MGMT-101,,Never,,,,DRAFT,
MGMT,MGMT-104,Being a Deputy Stage Manager,Calling a show.,MGMT-101,,Never,,,,DRAFT,
MGMT,MGMT-201,Intimacy and Fight Basics,"Running safe intimacy and fight calls: consent and check-ins, choreography discipline (never improvise contact), when the society must bring in an accredited external director, and safeguarding and reporting routes. This is coordination training, not choreography training: it certifies running calls, not staging violence.",MGMT-101,,24 months,,yes,,DRAFT,NEW content naming the sheet's placeholder row: subcommittee to confirm. Expiry set at 24 months because practice and policy in this area moves.
MGMT,SM-CERT,Certified Stage Manager,Complete all Stage Management modules and hold any SM-team role on a show supervised. Signed off by a CSM. May then supervise SM teams.,"MGMT-102, MGMT-103, MGMT-104",,Never,,,supervisor,DRAFT,Named by the ITM draft: subcommittee to confirm.
COST,COST-101,Wardrobe Fundamentals,"Taking measurements, fitting etiquette and consent, costume care and laundry, the wardrobe store and stock system, hires and returns, and budgets for costume.",NNT-001,,Never,,,,DRAFT,NEW section: subcommittee to confirm. Sign-off lead TBC.
COST,COST-111,Sewing Basics,"Hand stitches, sewing machine setup and safe use, common repairs, hemming, and taking in or out.",COST-101,,Never,,,,DRAFT,NEW section: subcommittee to confirm.
COST,COST-121,Hair and Makeup Basics,"Hygiene and allergy checks, base stage makeup for the NNT's lighting, ageing and character basics, and quick-change-friendly hair.",COST-101,,Never,,,,DRAFT,NEW section: subcommittee to confirm.
COST,COST-201,Costume Design,"Period and character research, costume plots and quick-change planning, designing within budget and stock, and working with directors and actors' comfort.",COST-101,,Never,,,,DRAFT,NEW section: subcommittee to confirm.
COST,COST-211,Making and Alterations,"Working from patterns, altering charity-shop and stock finds, and distressing and breaking down.",COST-111,,Never,,,,DRAFT,NEW section: subcommittee to confirm.
COST,COST-CERT,Certified Costume Designer,Complete all Costume modules and design a show supervised. Signed off by the costume lead. May then supervise Wardrobe.,"COST-121, COST-201, COST-211",,Never,,,supervisor,DRAFT,NEW section: subcommittee to confirm. Sign-off lead TBC.
